,first_category,second_category,third_category,brand,price,counts,sales,days
35,服饰内衣,内衣,文胸,PureUP,69.9,50,3495.0000000000005,50
36,服饰内衣,内衣,文胸,Ubras,139.0,150,20850.0,150
37,服饰内衣,内衣,文胸,Ubras,149.0,118,17582.0,118
38,服饰内衣,内衣,文胸,Ubras,199.0,90,17910.0,90
39,服饰内衣,内衣,文胸,Ubras,107.0,69,7383.0,69
40,服饰内衣,内衣,文胸,Ubras,109.0,50,5450.0,50
41,服饰内衣,内衣,文胸,Ubras,152.0,50,7600.0,50
42,服饰内衣,内衣,文胸,Ubras,189.0,50,9450.0,50
43,服饰内衣,内衣,文胸,Ubras,228.0,50,11400.0,50
44,服饰内衣,内衣,文胸,Ubras,126.0,33,4158.0,33
45,服饰内衣,内衣,文胸,Ubras,169.0,31,5239.0,31
46,服饰内衣,内衣,文胸,京东京造,89.9,50,4495.0,50
47,服饰内衣,内衣,文胸,俞兆林（YUZHAOLIN）,66.7,196,13073.2,144
48,服饰内衣,内衣,文胸,俞兆林（YUZHAOLIN）,46.7,150,7005.0,149
49,服饰内衣,内衣,文胸,俞兆林（YUZHAOLIN）,19.9,50,994.9999999999999,50
50,服饰内衣,内衣,文胸,俞兆林（YUZHAOLIN）,56.7,45,2551.5,45
51,服饰内衣,内衣,文胸,俞兆林（YUZHAOLIN）,151.0,34,5134.0,34
52,服饰内衣,内衣,文胸,俞兆林（YUZHAOLIN）,76.7,15,1150.5,15
53,服饰内衣,内衣,文胸,俞兆林（YUZHAOLIN）,38.8,12,465.59999999999997,12
54,服饰内衣,内衣,文胸,俞兆林（YUZHAOLIN）,69.9,11,768.9000000000001,11
55,服饰内衣,内衣,文胸,俞兆林（YUZHAOLIN）,59.9,10,599.0,10
56,服饰内衣,内衣,文胸,俞兆林（YUZHAOLIN）,125.8,8,1006.4,8
57,服饰内衣,内衣,文胸,俞兆林（YUZHAOLIN）,39.9,2,79.8,2
58,服饰内衣,内衣,文胸,内外（NEIWAI）,169.0,54,9126.0,54
59,服饰内衣,内衣,文胸,内外（NEIWAI）,278.0,50,13900.0,50
60,服饰内衣,内衣,文胸,创颜（chuangyan）,69.9,100,6990.000000000001,100
61,服饰内衣,内衣,文胸,创颜（chuangyan）,79.9,50,3995.0000000000005,50
62,服饰内衣,内衣,文胸,创颜（chuangyan）,99.9,3,299.70000000000005,3
63,服饰内衣,内衣,文胸,北极绒（Bejirog）,39.9,50,1995.0,50
64,服饰内衣,内衣,文胸,北极绒（Bejirog）,49.9,20,998.0,20
65,服饰内衣,内衣,文胸,北极绒（Bejirog）,48.0,14,672.0,7
66,服饰内衣,内衣,文胸,千奈美,99.0,17,1683.0,17
67,服饰内衣,内衣,文胸,南极人,38.8,50,1939.9999999999998,40
68,服饰内衣,内衣,文胸,南极人（NanJiren）,39.9,50,1995.0,50
69,服饰内衣,内衣,文胸,南极人（Nanjiren）,49.9,313,15618.699999999999,313
70,服饰内衣,内衣,文胸,南极人（Nanjiren）,39.9,300,11970.0,300
71,服饰内衣,内衣,文胸,南极人（Nanjiren）,29.9,150,4485.0,150
72,服饰内衣,内衣,文胸,南极人（Nanjiren）,17.9,50,894.9999999999999,49
73,服饰内衣,内衣,文胸,南极人（Nanjiren）,38.8,50,1939.9999999999998,50
74,服饰内衣,内衣,文胸,南极人（Nanjiren）,89.9,50,4495.0,50
75,服饰内衣,内衣,文胸,南极人（Nanjiren）,59.9,26,1557.3999999999999,26
76,服饰内衣,内衣,文胸,南极人（Nanjiren）,89.0,19,1691.0,19
77,服饰内衣,内衣,文胸,南极人（Nanjiren）,59.0,2,118.0,2
78,服饰内衣,内衣,文胸,南极人（Nanjiren）,47.9,1,47.9,1
79,服饰内衣,内衣,文胸,南极人（Nanjiren）,69.0,1,69.0,1
80,服饰内衣,内衣,文胸,古今（GUJIN）,105.0,50,5250.0,50
81,服饰内衣,内衣,文胸,古今（GUJIN）,119.0,12,1428.0,12
82,服饰内衣,内衣,文胸,古际（GUJIVIP）,59.9,50,2995.0,49
83,服饰内衣,内衣,文胸,古际（GUJIVIP）,39.9,46,1835.3999999999999,46
84,服饰内衣,内衣,文胸,圣迪亚丝,99.0,50,4950.0,50
85,服饰内衣,内衣,文胸,好奇蜜斯（Miss Curiosity）,79.8,50,3990.0,50
86,服饰内衣,内衣,文胸,妮姬塔（NIJITA）,62.0,51,3162.0,51
87,服饰内衣,内衣,文胸,妮姬塔（NIJITA）,55.0,50,2750.0,50
88,服饰内衣,内衣,文胸,婷美（GRACEWELL）,158.0,7,1106.0,6
89,服饰内衣,内衣,文胸,幸棉（LUCKMEEY）,139.0,50,6950.0,49
90,服饰内衣,内衣,文胸,必悦（Mustbefun）,69.9,42,2935.8,42
91,服饰内衣,内衣,文胸,曼可娇（mankejiao）,79.0,50,3950.0,50
92,服饰内衣,内衣,文胸,曼妮芬（Maniform）,339.0,33,11187.0,33
93,服饰内衣,内衣,文胸,曼妮芬（Maniform）,299.0,3,897.0,3
94,服饰内衣,内衣,文胸,曼妮芬（Maniform）,300.0,1,300.0,1
95,服饰内衣,内衣,文胸,有棵树（YOUKESHU）,89.9,81,7281.900000000001,81
96,服饰内衣,内衣,文胸,有棵树（YOUKESHU）,129.9,68,8833.2,68
97,服饰内衣,内衣,文胸,有棵树（YOUKESHU）,80.9,61,4934.900000000001,61
98,服饰内衣,内衣,文胸,梦芭蒂（Moonbadi）,139.0,12,1668.0,12
99,服饰内衣,内衣,文胸,梦芭蒂（Moonbadi）,129.0,9,1161.0,9
100,服饰内衣,内衣,文胸,欧迪芬（Ordifen）,239.0,100,23900.0,100
101,服饰内衣,内衣,文胸,欧迪芬（Ordifen）,235.0,50,11750.0,50
102,服饰内衣,内衣,文胸,沫濛,39.0,50,1950.0,50
103,服饰内衣,内衣,文胸,浪莎（LangSha）,99.0,100,9900.0,100
104,服饰内衣,内衣,文胸,浪莎（LangSha）,129.0,50,6450.0,50
105,服饰内衣,内衣,文胸,浪莎（LangSha）,38.8,3,116.39999999999999,3
106,服饰内衣,内衣,文胸,浪莎（LangSha）,29.0,1,29.0,1
107,服饰内衣,内衣,文胸,爱慕（Aimer）,239.0,50,11950.0,50
108,服饰内衣,内衣,文胸,爱慕（Aimer）,109.0,6,654.0,6
109,服饰内衣,内衣,文胸,猫人（MiiOW）,49.9,50,2495.0,50
110,服饰内衣,内衣,文胸,猫人（MiiOW）,69.9,50,3495.0000000000005,50
111,服饰内衣,内衣,文胸,猫人（MiiOW）,149.9,26,3897.4,26
112,服饰内衣,内衣,文胸,猫惑（MAOHUO）,241.0,50,12050.0,50
113,服饰内衣,内衣,文胸,维多利亚的优雅（VICTORIA'S ELEGANT）,288.0,18,5184.0,18
114,服饰内衣,内衣,文胸,维多利亚的春天,238.0,14,3332.0,14
115,服饰内衣,内衣,文胸,芬腾,99.0,100,9900.0,50
